,project_name,state,postcode,fuel_source,capacity_mw,project_stage,stage_date,accreditation_start_date,accreditation_code,search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
18,Red Valley Farms,QLD,4871,Solar,0.3801,approved,2025-01-28,2024-11-11,SRPVQLO6,"QLD, 4871, Australia",-17.6333042,146.0279575,-17.6333542,-17.6332542,146.0279075,146.0280075,"Australia Post - Morseby CPA, 21, Moresby Road, Moresby, Cassowary Coast Regional, Queensland, 4871, Australia",node,12385717450,nominatim,ok,postcode
19,Region Group Warnbro Central,WA,6169,Solar,0.5736,approved,2025-01-28,2024-11-21,SRPVWAH2,"WA, 6169, Australia",-31.950652,115.7978755,-31.9887127,-31.9478379,115.7778725,115.8225371,"University of Western Australia, 35, Stirling Highway, Nedlands, City of Nedlands, Western Australia, 6009, Australia",relation,7398658,nominatim,ok,postcode
20,Southern Steel-Dandenong South,VIC,3175,Solar,0.2,approved,2025-01-28,2024-12-19,SRPXVCP4,"VIC, 3175, Australia",-37.8688729,145.2126338,-37.8690250,-37.8686207,145.2124983,145.2127695,"Melbourne Australia Temple, Pumps Court, Wantirna South, Melbourne, City of Knox, Victoria, 3152, Australia",way,24054567,nominatim,ok,postcode
21,Southern Steel-Pooraka,SA,5095,Solar,0.2498,approved,2025-01-28,2024-12-19,SRPVSAY9,"SA, 5095, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
22,CLAYTON CHURCH HOMES INC- Magill,SA,5072,Solar,0.2001,approved,2025-01-31,2024-12-11,SRPVSAY7,"SA, 5072, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
23,AU186 Oakdale West 5B,NSW,2178,Solar,0.15,approved,2025-02-04,2024-12-16,SRPYNS53,"NSW, 2178, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
24,Carosue,WA,6440,Solar,8.464,approved,2025-02-10,2024-12-24,SRPVWAN2,"Carosue, WA, 6440, Australia",-30.1493203,122.3551726,-30.1642859,-30.0508926,122.2864030,122.3685993,"Carosue Dam Gold Mine, Cundeelee, City Of Kalgoorlie-Boulder, Western Australia, Australia",relation,14542147,nominatim,ok,exact
25,Linfox Regency Park,SA,5010,Solar,0.7,approved,2025-02-10,2024-12-17,SRPVSAY8,"SA, 5010, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
26,PWR Hybrid Cataby,WA,6507,Solar,9.558,approved,2025-02-10,2025-01-08,SRPVWAN1,"WA, 6507, Australia",-31.950652,115.7978755,-31.9887127,-31.9478379,115.7778725,115.8225371,"University of Western Australia, 35, Stirling Highway, Nedlands, City of Nedlands, Western Australia, 6009, Australia",relation,7398658,nominatim,ok,postcode
27,Blacktown Warehouse 1,NSW,2148,Solar,0.2,approved,2025-02-11,2024-12-17,SRPYNS54,"Blacktown Warehouse 1, NSW, 2148, Australia",-33.7739882,150.9036186,-33.8046631,-33.7476091,150.8784360,150.9277364,"Blacktown, Sydney, Blacktown City Council, New South Wales, 2148, Australia",relation,5484999,nominatim,ok,exact
